iter	RMSE
0	9.300116505
1	8.862835101
2	8.478514223
3	8.140364246
4	7.852874388
5	7.599036765
6	7.37750425
7	7.192228783
8	7.006270733
9	6.839223424
10	6.711799089
11	6.586555468
12	6.486036054
13	6.386781845
14	6.282536312
15	6.21370343
16	6.12756919
17	6.071495752
18	6.014112335
19	5.949227354
20	5.905444318
21	5.848493093
22	5.800389767
23	5.765054108
24	5.709968943
25	5.662603026
26	5.623768619
27	5.586863749
28	5.560489272
29	5.53148138
30	5.493732319
31	5.470073796
32	5.44905198
33	5.414388463
34	5.386753751
35	5.35786193
36	5.340508184
37	5.315402038
38	5.29317674
39	5.272563911
40	5.259346505
41	5.242290249
42	5.224505175
43	5.207640782
44	5.193760678
45	5.18354986
46	5.167005196
47	5.153758632
48	5.138880672
49	5.130341417
50	5.121544216
51	5.10884555
52	5.096275502
53	5.086594654
54	5.07514769
55	5.065062875
56	5.058475761
57	5.050014388
58	5.041143542
59	5.031840113
60	5.024234848
61	5.018612118
62	5.011871468
63	5.005636832
64	4.997571029
65	4.992724754
66	4.985468998
67	4.979785003
68	4.972484648
69	4.968046294
70	4.962071316
71	4.957667845
72	4.953075979
73	4.947678842
74	4.942313417
75	4.936409295
76	4.931140795
77	4.926498133
78	4.920633335
79	4.916377815
80	4.912806149
81	4.908646784
82	4.905023995
83	4.901017526
84	4.896722653
85	4.892244172
86	4.889327526
87	4.885683383
88	4.883051266
89	4.878696036
90	4.875490321
91	4.871842065
92	4.867919133
93	4.861805545
94	4.859391437
95	4.855549933
96	4.851399907
97	4.848713055
98	4.846584655
99	4.843069288
100	4.841339346
101	4.836609995
102	4.834450983
103	4.832211052
104	4.830228468
105	4.828836663
106	4.825478343
107	4.82273027
108	4.820931099
109	4.817687278
110	4.815656187
111	4.81385322
112	4.812285622
113	4.810090276
114	4.808641554
115	4.807025834
116	4.80547662
117	4.803951179
118	4.799119782
119	4.796787503
120	4.795012472
121	4.78903389
122	4.78704863
123	4.785980301
124	4.784588582
125	4.782969112
126	4.779262828
127	4.776873048
128	4.775559445
129	4.770776474
130	4.767244155
131	4.76477216
132	4.762584571
133	4.759083297
134	4.757396017
135	4.754092519
136	4.75206183
137	4.749980634
138	4.747644503
139	4.74653251
140	4.74490575
141	4.741717129
142	4.739386839
143	4.737023897
144	4.735207622
145	4.73334582
146	4.731861129
147	4.730540382
148	4.728903989
149	4.726805746
150	4.725223906
151	4.723715932
152	4.721724717
153	4.719792756
154	4.7183654
155	4.716447263
156	4.715110861
157	4.713200784
158	4.711829915
159	4.710331239
160	4.708956864
161	4.707053594
162	4.705864024
163	4.703187127
164	4.701100829
165	4.699131099
166	4.697638125
167	4.695737003
168	4.694311137
169	4.693267259
170	4.691850654
171	4.690215742
172	4.688690291
173	4.686976813
174	4.68598357
175	4.684741752
176	4.68306743
177	4.681793635
178	4.680254465
179	4.678073784
180	4.676981087
181	4.675769551
182	4.674415526
183	4.673234518
184	4.671856351
185	4.669503616
186	4.668492696
187	4.666460651
188	4.665639291
189	4.664723157
190	4.663520605
191	4.661923776
192	4.660822653
193	4.659558541
194	4.657426818
195	4.656405927
196	4.655337141
197	4.654308204
198	4.653112292
199	4.651882093
200	4.649869449
201	4.649038808
202	4.648356132
203	4.647114873
204	4.644751634
205	4.642644001
206	4.641094926
207	4.639767927
208	4.638277203
209	4.636324714
210	4.635134819
211	4.633518934
212	4.63249714
213	4.631431178
214	4.62973643
215	4.628421327
216	4.627001661
217	4.625821585
218	4.625053462
219	4.623763102
220	4.622929738
221	4.621970118
222	4.620520911
223	4.619452276
224	4.618338641
225	4.617202698
226	4.61575104
227	4.615227096
228	4.61383559
229	4.612350747
230	4.61126773
231	4.610125368
232	4.60917257
233	4.608478822
234	4.607032275
235	4.605968509
236	4.605445925
237	4.604778962
238	4.603829237
239	4.602857178
240	4.602388228
241	4.601254235
242	4.599984945
243	4.598789059
244	4.597802424
245	4.596747243
246	4.595853853
247	4.594694185
248	4.593557854
249	4.592502002
250	4.591826516
251	4.591078926
252	4.59041264
253	4.589385716
254	4.588045644
255	4.586712556
256	4.585627804
257	4.584575728
258	4.583436678
259	4.582123889
260	4.581484809
261	4.580506951
262	4.579875247
263	4.579343859
264	4.578802628
265	4.578084458
266	4.577398913
267	4.576463
268	4.575417284
269	4.5743939
270	4.573499366
271	4.572387521
272	4.5716981
273	4.570837668
274	4.569885136
275	4.568566903
276	4.56739947
277	4.566372997
278	4.565647475
279	4.56500809
280	4.563742405
281	4.562720405
282	4.561435521
283	4.560451182
284	4.55944249
285	4.558392524
286	4.557178709
287	4.556567453
288	4.555768714
289	4.554800757
290	4.553976277
291	4.552960197
292	4.551812714
293	4.551169341
294	4.550082678
295	4.54959294
296	4.548933679
297	4.548082796
298	4.546970579
299	4.546238851
300	4.545405893
301	4.544479846
302	4.543446041
303	4.542702334
304	4.541983883
305	4.541416395
306	4.54047846
307	4.540063436
308	4.539463196
309	4.538931265
310	4.538153655
311	4.537563157
312	4.536861949
313	4.536052998
314	4.535330759
315	4.535039508
316	4.534496783
317	4.533479609
318	4.533024208
319	4.532194027
320	4.531204319
321	4.530346775
322	4.529458404
323	4.529148228
324	4.528374365
325	4.527255877
326	4.526898028
327	4.526661865
328	4.525781688
329	4.524976197
330	4.523962463
331	4.523360626
332	4.522661231
333	4.521710837
334	4.520973844
335	4.520148616
336	4.519201538
337	4.518553688
338	4.517924699
339	4.517142491
340	4.516600281
341	4.515688063
342	4.51518049
343	4.514681562
344	4.514421307
345	4.51358163
346	4.513077687
347	4.512097764
348	4.511442537
349	4.510799967
350	4.510110861
351	4.509267219
352	4.508893634
353	4.50803751
354	4.507638209
355	4.507233239
356	4.506389532
357	4.505713196
358	4.504895802
359	4.504130271
360	4.503239099
361	4.502621964
362	4.502177735
363	4.50199012
364	4.501412703
365	4.500727459
366	4.500025377
367	4.499535745
368	4.498990066
369	4.498316869
370	4.497658225
