iter	Passed	Remaining
0	167	167187
1	181	90358
2	194	64765
3	208	51886
4	222	44363
5	237	39338
6	251	35616
7	266	33002
8	283	31162
9	299	29686
10	332	29884
11	360	29678
12	387	29434
13	414	29201
14	445	29281
15	467	28740
16	481	27853
17	497	27131
18	514	26546
19	533	26164
20	549	25603
21	563	25055
22	577	24540
23	589	23964
24	603	23526
25	615	23045
26	626	22582
27	641	22254
28	652	21840
29	664	21490
30	677	21186
31	689	20856
32	700	20523
33	712	20250
34	725	19993
35	740	19822
36	753	19615
37	765	19389
38	778	19172
39	790	18972
40	801	18758
41	813	18562
42	826	18393
43	838	18217
44	850	18056
45	862	17897
46	876	17776
47	889	17636
48	901	17494
49	913	17353
50	924	17202
51	936	17066
52	948	16946
53	960	16835
54	973	16730
55	986	16631
56	998	16527
57	1010	16411
58	1023	16318
59	1035	16226
60	1048	16139
61	1059	16031
62	1071	15941
63	1083	15841
64	1095	15753
65	1108	15689
66	1123	15643
67	1137	15583
68	1151	15531
69	1164	15465
70	1176	15390
71	1187	15308
72	1199	15233
73	1210	15151
74	1222	15078
75	1235	15015
76	1250	14995
77	1266	14966
78	1280	14927
79	1295	14900
80	1308	14851
81	1322	14809
82	1338	14790
83	1351	14741
84	1365	14698
85	1378	14649
86	1391	14602
87	1403	14540
88	1414	14482
89	1425	14417
90	1438	14369
91	1451	14323
92	1465	14293
93	1476	14234
94	1488	14181
95	1500	14133
96	1513	14087
97	1526	14046
98	1538	14001
99	1552	13968
100	1565	13932
101	1579	13901
102	1592	13864
103	1606	13838
104	1619	13802
105	1632	13768
106	1646	13738
107	1658	13695
108	1670	13652
109	1682	13613
110	1694	13568
111	1705	13521
112	1716	13476
113	1729	13440
114	1742	13406
115	1753	13365
116	1765	13322
117	1777	13283
118	1789	13247
119	1803	13224
120	1815	13187
121	1828	13158
122	1840	13123
123	1852	13086
124	1866	13063
125	1879	13037
126	1893	13013
127	1906	12990
128	1920	12966
129	1933	12941
130	1946	12912
131	1959	12884
132	1972	12858
133	1984	12828
134	1997	12799
135	2009	12766
136	2021	12734
137	2033	12701
138	2045	12671
139	2058	12647
140	2074	12636
141	2089	12626
142	2105	12621
143	2122	12615
144	2136	12596
145	2149	12571
146	2160	12539
147	2172	12508
148	2184	12475
149	2196	12445
150	2209	12421
151	2222	12397
152	2235	12376
153	2247	12349
154	2260	12326
155	2273	12299
156	2285	12269
157	2296	12239
158	2308	12209
159	2320	12185
160	2332	12154
161	2344	12130
162	2356	12101
163	2370	12083
164	2383	12059
165	2394	12031
166	2407	12008
167	2420	11985
168	2431	11957
