iter	RMSE
0	9.301945339
1	8.870659705
2	8.487367897
3	8.156209952
4	7.857938319
5	7.601541764
6	7.380982951
7	7.179603094
8	7.010566342
9	6.849411503
10	6.697673907
11	6.568936058
12	6.457454431
13	6.361035508
14	6.281203974
15	6.178171633
16	6.074860764
17	6.011966086
18	5.954628818
19	5.869773487
20	5.82264421
21	5.779001213
22	5.735996813
23	5.699432932
24	5.64148428
25	5.588385399
26	5.552615284
27	5.520763957
28	5.47276233
29	5.447493391
30	5.425829412
31	5.404625139
32	5.367926593
33	5.346659997
34	5.328366712
35	5.288203314
36	5.270581215
37	5.234837378
38	5.209859907
39	5.182588431
40	5.171483391
41	5.145085067
42	5.133654556
43	5.10539966
44	5.092959069
45	5.069211123
46	5.058548286
47	5.038595724
48	5.024915109
49	5.008923417
50	4.999393272
51	4.992277198
52	4.974824561
53	4.963210629
54	4.948211518
55	4.933866518
56	4.924045861
57	4.915026269
58	4.906341904
59	4.897402013
60	4.885321313
61	4.87687898
62	4.86856484
63	4.859190094
64	4.854724757
65	4.841099319
66	4.832133787
67	4.82562437
68	4.819324813
69	4.814391918
70	4.805175942
71	4.796904844
72	4.78660786
73	4.778348711
74	4.77095281
75	4.762133878
76	4.755566303
77	4.749562021
78	4.744754426
79	4.739820273
80	4.735043057
81	4.729047548
82	4.724262904
83	4.717768294
84	4.712197992
85	4.706860681
86	4.701377086
87	4.696431559
88	4.691356794
89	4.683390218
90	4.677965149
91	4.674183014
92	4.671173596
93	4.666469645
94	4.660537143
95	4.652066407
96	4.647295807
97	4.644587455
98	4.640608832
99	4.637917275
100	4.634021727
101	4.629655674
102	4.62663658
103	4.623577573
104	4.620139852
105	4.616167211
106	4.613479986
107	4.610163426
108	4.607188203
109	4.603573706
110	4.600303752
111	4.595642255
112	4.591130047
113	4.587279905
114	4.583857401
115	4.58021273
116	4.577486646
117	4.57274048
118	4.569678542
119	4.5670342
120	4.563900118
121	4.560264675
122	4.55611887
123	4.553166056
124	4.549299913
125	4.545414553
126	4.542997267
127	4.539566077
128	4.53622561
129	4.533316332
130	4.526715367
131	4.523326088
132	4.519805488
133	4.517181984
134	4.513650464
135	4.511228219
136	4.507919253
137	4.504639735
138	4.502039555
139	4.50012834
140	4.495169968
141	4.49225414
142	4.489453469
143	4.484323529
144	4.481410521
145	4.478071357
146	4.47592073
147	4.472969652
148	4.469853685
149	4.46664712
150	4.46243055
151	4.459375565
152	4.456244204
153	4.454195586
154	4.450950785
155	4.447688367
156	4.44448745
157	4.441533364
158	4.437725056
159	4.434000669
160	4.431381974
161	4.429508888
162	4.427409855
163	4.425238615
164	4.422509741
165	4.421123936
166	4.419091708
167	4.415942649
168	4.413537766
169	4.4092066
170	4.406802472
171	4.4049095
172	4.402280965
173	4.400744438
174	4.39777537
175	4.395989768
176	4.393725481
177	4.391547914
178	4.389056867
179	4.387544416
180	4.385358303
181	4.384340369
182	4.381630149
183	4.378196812
184	4.37633842
185	4.374562256
186	4.373040276
187	4.369029012
188	4.367301922
189	4.364836943
190	4.363437748
191	4.361108346
192	4.359092955
193	4.357399812
194	4.355273616
195	4.35388359
196	4.351302447
197	4.349269975
198	4.347959171
199	4.346055555
200	4.343828691
201	4.341710077
202	4.340380106
203	4.338330609
204	4.336955488
205	4.334982092
206	4.332889805
207	4.330620812
208	4.32898882
209	4.326999973
210	4.3258683
211	4.32347979
212	4.321231911
213	4.319453393
214	4.318249098
215	4.316395729
216	4.314122842
217	4.312816014
218	4.311572802
219	4.309445882
220	4.306909747
221	4.305531219
222	4.30440434
223	4.303013905
224	4.300216843
225	4.298748228
226	4.297233242
227	4.294861502
228	4.292341487
229	4.291211329
230	4.289017743
231	4.288041442
232	4.286285185
233	4.284869596
234	4.282717767
235	4.281096186
236	4.27879571
237	4.27711654
238	4.276079212
239	4.275135685
240	4.273695015
241	4.272005813
242	4.270583771
243	4.268763221
244	4.266614121
245	4.265670688
246	4.264016457
247	4.262438802
248	4.261004499
249	4.259312011
250	4.25715697
251	4.25494918
252	4.252966996
253	4.251620317
254	4.249578837
255	4.247787393
256	4.246378293
257	4.244015893
258	4.2427544
259	4.241490869
260	4.239905157
261	4.23777451
262	4.235600723
263	4.234691947
264	4.232985622
265	4.231691872
266	4.230293039
267	4.229003434
268	4.227460021
269	4.225989292
270	4.223936459
271	4.222574604
272	4.221387839
273	4.220265178
274	4.218418627
275	4.216715106
276	4.21562826
277	4.214215368
278	4.212845678
279	4.211241493
280	4.21032709
281	4.208791386
282	4.207175066
283	4.206153763
284	4.204680345
285	4.203412347
286	4.202458512
287	4.201488027
288	4.199999433
289	4.199021785
290	4.197980102
291	4.19676161
292	4.195363735
293	4.193855864
294	4.19253435
295	4.191647738
296	4.190131315
297	4.18927816
298	4.188647499
299	4.187118215
300	4.185832343
301	4.184625633
302	4.183829197
303	4.182710304
304	4.181376134
305	4.17994556
306	4.178674753
307	4.177770859
308	4.176849902
309	4.175652021
310	4.174328256
311	4.173058031
312	4.171842296
313	4.170935029
314	4.170048765
315	4.16920745
316	4.167592109
317	4.166302185
318	4.165078484
319	4.163711601
320	4.161826636
321	4.160845621
322	4.15968837
323	4.158290191
324	4.157333906
325	4.156240825
326	4.155412811
327	4.1542297
328	4.152694138
329	4.151998686
330	4.151116878
331	4.149659624
332	4.149181671
333	4.147858893
334	4.146917681
335	4.145792822
336	4.144784779
337	4.143374951
338	4.142409501
339	4.141602861
340	4.140793658
341	4.139620321
342	4.138160477
343	4.136759173
344	4.135521234
345	4.134400458
346	4.13304398
347	4.131903035
348	4.130618638
349	4.129701912
350	4.129028447
351	4.127929353
352	4.12667393
353	4.125570191
354	4.12416979
355	4.123103051
356	4.121663265
357	4.121107853
358	4.120328491
359	4.119306827
360	4.117618342
361	4.11664109
362	4.115292871
363	4.114620297
364	4.113361034
365	4.112661814
366	4.11205375
367	4.111195432
368	4.110318532
369	4.109261579
370	4.107831076
371	4.106968084
372	4.105950785
373	4.105079906
374	4.100831747
375	4.099637195
376	4.099076669
377	4.098274887
378	4.097319455
379	4.09621603
380	4.095490543
381	4.094413409
382	4.093577084
383	4.092740093
