iter	Passed	Remaining
0	165	165302
1	175	87686
2	185	61503
3	197	49077
4	209	41765
5	219	36433
6	230	32630
7	239	29738
8	249	27465
9	258	25580
10	267	24077
11	276	22727
12	284	21637
13	292	20606
14	301	19818
15	311	19163
16	322	18647
17	331	18096
18	344	17765
19	353	17341
20	363	16924
21	372	16553
22	380	16162
23	388	15816
24	399	15584
25	410	15386
26	420	15160
27	429	14905
28	438	14695
29	447	14468
30	456	14273
31	468	14162
32	481	14112
33	491	13952
34	502	13844
35	518	13873
36	531	13836
37	542	13729
38	551	13586
39	562	13507
40	572	13383
41	582	13297
42	594	13239
43	605	13158
44	615	13052
45	626	12999
46	637	12926
47	647	12850
48	657	12757
49	666	12666
50	676	12588
51	684	12482
52	695	12427
53	705	12352
54	714	12280
55	724	12210
56	733	12137
57	742	12063
58	752	12005
59	761	11923
60	771	11875
61	781	11822
62	791	11772
63	803	11744
64	814	11709
65	824	11665
66	836	11653
67	849	11639
68	863	11648
69	872	11595
70	884	11570
71	894	11534
72	906	11507
73	918	11488
74	930	11475
75	944	11481
76	956	11461
77	964	11401
78	973	11348
79	983	11315
80	993	11266
81	1003	11236
82	1014	11204
83	1025	11183
84	1038	11176
85	1052	11185
86	1064	11169
87	1075	11147
88	1088	11145
89	1101	11136
90	1114	11129
91	1127	11130
92	1138	11103
93	1148	11072
94	1161	11060
95	1170	11022
96	1181	11000
97	1191	10968
98	1204	10964
99	1219	10978
100	1247	11104
101	1267	11162
102	1287	11216
103	1302	11218
104	1315	11213
105	1329	11210
106	1344	11224
107	1357	11208
108	1368	11188
109	1379	11160
110	1388	11123
111	1398	11085
112	1408	11056
113	1417	11013
114	1426	10974
115	1434	10929
116	1442	10885
117	1450	10840
118	1459	10805
119	1467	10764
120	1480	10757
121	1489	10717
122	1497	10680
123	1507	10650
124	1515	10611
125	1523	10571
126	1534	10545
127	1541	10502
128	1549	10463
129	1558	10426
130	1565	10386
131	1575	10362
132	1584	10328
133	1593	10297
134	1601	10262
135	1623	10313
136	1633	10290
137	1644	10274
138	1654	10249
139	1663	10219
140	1672	10188
141	1683	10171
142	1694	10152
143	1703	10127
144	1712	10095
145	1721	10071
146	1731	10047
147	1739	10012
148	1747	9981
149	1756	9955
150	1765	9926
151	1774	9900
152	1783	9874
153	1793	9849
154	1800	9816
155	1809	9791
156	1819	9768
157	1827	9738
158	1836	9713
159	1844	9681
160	1854	9661
161	1862	9634
162	1872	9613
163	1881	9590
164	1889	9564
165	1900	9547
166	1914	9550
167	1922	9523
168	1931	9497
169	1939	9470
170	1948	9444
171	1956	9420
172	1966	9398
173	1975	9376
174	1984	9354
175	1992	9329
176	2003	9314
177	2014	9302
178	2024	9285
179	2033	9265
180	2043	9245
181	2053	9227
182	2062	9205
183	2070	9183
184	2079	9162
185	2088	9139
186	2098	9123
187	2107	9100
188	2118	9090
189	2128	9074
190	2138	9057
191	2156	9077
192	2188	9150
193	2215	9203
194	2239	9243
195	2263	9283
196	2297	9364
197	2316	9384
198	2331	9383
199	2346	9386
200	2363	9393
201	2384	9421
202	2400	9425
203	2414	9422
204	2426	9408
205	2435	9386
206	2443	9362
207	2459	9364
208	2470	9351
209	2481	9334
210	2496	9336
211	2508	9323
212	2521	9315
213	2532	9302
214	2543	9287
215	2555	9274
216	2563	9249
217	2572	9226
218	2581	9207
219	2591	9189
220	2602	9173
221	2611	9151
222	2621	9133
223	2630	9113
224	2639	9090
225	2648	9071
226	2658	9052
227	2667	9032
228	2676	9011
229	2685	8989
230	2693	8967
231	2703	8950
232	2711	8927
233	2722	8911
234	2731	8892
235	2740	8871
236	2750	8853
237	2780	8903
238	2800	8917
239	2816	8919
240	2835	8929
241	2850	8927
242	2861	8914
243	2875	8908
244	2890	8906
245	2900	8890
246	2909	8870
247	2917	8847
248	2926	8826
249	2936	8808
250	2945	8790
251	2957	8779
252	2967	8761
253	2974	8737
254	2984	8718
255	2992	8698
256	3003	8682
257	3014	8668
258	3025	8655
259	3035	8639
260	3044	8619
261	3053	8601
262	3061	8579
263	3069	8557
264	3078	8538
265	3086	8516
266	3095	8497
267	3104	8478
268	3113	8461
269	3121	8439
270	3130	8421
271	3139	8401
272	3148	8385
273	3158	8368
274	3169	8356
275	3180	8342
276	3189	8324
277	3198	8306
278	3208	8290
279	3216	8270
280	3225	8252
281	3233	8233
282	3242	8216
283	3250	8196
284	3262	8184
285	3272	8170
286	3284	8159
287	3292	8140
288	3301	8122
289	3310	8104
290	3318	8086
291	3326	8066
292	3337	8052
293	3345	8034
294	3354	8015
295	3364	8001
296	3373	7983
297	3384	7972
298	3394	7957
299	3403	7941
300	3412	7924
301	3420	7905
302	3429	7888
303	3438	7873
304	3447	7856
305	3457	7840
306	3467	7826
307	3474	7806
308	3483	7789
309	3491	7771
310	3500	7755
311	3508	7736
312	3516	7718
313	3525	7702
314	3535	7688
315	3545	7675
316	3557	7665
317	3567	7650
318	3576	7634
319	3586	7620
320	3597	7609
321	3607	7595
322	3616	7580
323	3624	7562
324	3633	7546
325	3642	7530
326	3651	7514
327	3660	7499
328	3669	7484
329	3680	7471
330	3689	7457
331	3697	7440
332	3706	7424
333	3715	7409
334	3724	7394
335	3739	7390
336	3769	7416
337	3797	7437
338	3819	7447
339	3847	7468
340	3865	7470
341	3885	7475
342	3903	7476
343	3915	7467
344	3929	7461
345	3942	7452
346	3955	7443
347	3967	7434
348	3982	7428
349	4003	7434
350	4019	7431
351	4044	7446
352	4068	7457
353	4115	7509
354	4147	7534
355	4168	7540
356	4188	7543
357	4205	7541
358	4251	7590
359	4343	7720
360	4367	7731
361	4391	7740
362	4411	7741
363	4439	7756
364	4470	7776
365	4492	7782
366	4511	7781
367	4529	7778
368	4544	7771
369	4556	7758
370	4572	7751
371	4583	7736
372	4591	7718
373	4605	7707
374	4617	7695
375	4626	7678
376	4634	7659
377	4643	7640
378	4653	7624
379	4661	7604
380	4669	7586
381	4678	7568
382	4687	7550
383	4695	7532
